LOCATION,Country,TIME,Business enterprise
ITA,Italy,1996,5323749.81688
ITA,Italy,2005,7235081.08039
ITA,Italy,2006,8264963.76433
ITA,Italy,2007,9452029.77981
ITA,Italy,2008,11127557.43951
ITA,Italy,2009,11010467.61581
ITA,Italy,2010,11357810.95714
ITA,Italy,2011,11773366.3553
ITA,Italy,2012,12143538.25106
ITA,Italy,2013,12873285.78371
ITA,Italy,2014,14030623.16528
HKG,"China, Hong Kong Special Administrative Region",2000,190562.35463
HKG,"China, Hong Kong Special Administrative Region",2001,311103.22655
HKG,"China, Hong Kong Special Administrative Region",2002,391559.81065
HKG,"China, Hong Kong Special Administrative Region",2003,581387.15413
HKG,"China, Hong Kong Special Administrative Region",2004,773075.28401
HKG,"China, Hong Kong Special Administrative Region",2005,1017461.76638
HKG,"China, Hong Kong Special Administrative Region",2006,1148873.71843
HKG,"China, Hong Kong Special Administrative Region",2007,1136479.25106
HKG,"China, Hong Kong Special Administrative Region",2008,1010170.23621
HKG,"China, Hong Kong Special Administrative Region",2009,1085911.84309
HKG,"China, Hong Kong Special Administrative Region",2010,1182243.75736
HKG,"China, Hong Kong Special Administrative Region",2012,1326871.49652
HKG,"China, Hong Kong Special Administrative Region",2013,1335271.71818
HKG,"China, Hong Kong Special Administrative Region",2014,1380319.72752
PHL,Philippines,2002,272712.29669
PHL,Philippines,2003,277828.46643
PHL,Philippines,2005,256169.70777
PHL,Philippines,2007,296054.54459
PHL,Philippines,2009,309318.75165
PHL,Philippines,2011,317471.15496
PHL,Philippines,2013,326790.82235
BIH,Bosnia and Herzegovina,2012,1133.8975
BIH,Bosnia and Herzegovina,2013,2295.83839
BIH,Bosnia and Herzegovina,2014,24981.65602
BIH,Bosnia and Herzegovina,2015,28423.60746
HUN,Hungary,1996,235866.23789
HUN,Hungary,1997,258086.59338
HUN,Hungary,1998,252935.10643
HUN,Hungary,1999,287621.08212
HUN,Hungary,2000,361213.87339
HUN,Hungary,2001,429196.7897
HUN,Hungary,2002,430539.5975
HUN,Hungary,2003,441459.72028
HUN,Hungary,2004,524510.37288
HUN,Hungary,2005,625936.25927
HUN,Hungary,2006,783270.36668
HUN,Hungary,2007,802749.62071
HUN,Hungary,2008,982269.77058
HUN,Hungary,2009,1089064.49009
HUN,Hungary,2010,1164690.28389
HUN,Hungary,2011,1285296.85519
HUN,Hungary,2012,1357252.85012
HUN,Hungary,2013,1574591.96986
HUN,Hungary,2014,1654869.79377
HUN,Hungary,2015,1783707.05746
FRA,France,1996,13747089.81568
FRA,France,1997,14771818.50141
FRA,France,1998,15727635.39275
FRA,France,1999,16771998.308
FRA,France,2000,17461038.97499
FRA,France,2001,19603608.6555
FRA,France,2002,19974369.30845
FRA,France,2003,18854780.98348
FRA,France,2004,19360351.23883
FRA,France,2005,20529735.13243
FRA,France,2006,22158409.87954
FRA,France,2007,23085293.95571
FRA,France,2008,23665039.45008
FRA,France,2009,25974671.31063
FRA,France,2010,27260992.60185
FRA,France,2011,29513351.58154
FRA,France,2012,30484523.88425
FRA,France,2013,32165919.76915
FRA,France,2014,33160210.13366
ETH,Ethiopia,2010,23987.94758
ETH,Ethiopia,2013,5903.3419
SVN,Slovenia,1996,176381.96128
SVN,Slovenia,1997,202825.20548
SVN,Slovenia,1998,217985.95856
SVN,Slovenia,1999,257759.00383
SVN,Slovenia,2000,259406.23749
SVN,Slovenia,2001,303601.98157
SVN,Slovenia,2002,349730.66386
SVN,Slovenia,2003,274043.25658
SVN,Slovenia,2004,364257.82214
SVN,Slovenia,2005,370691.73216
SVN,Slovenia,2006,470477.04298
SVN,Slovenia,2007,462018.96952
SVN,Slovenia,2008,611392.75058
SVN,Slovenia,2009,590808.19566
SVN,Slovenia,2010,683895.5899
SVN,Slovenia,2011,877454.04426
SVN,Slovenia,2012,951906.16899
SVN,Slovenia,2013,1012050.03102
SVN,Slovenia,2014,1043194.27572
SVN,Slovenia,2015,1010477.92482
IRN,Iran (Islamic Republic of),2001,604545.71382
IRN,Iran (Islamic Republic of),2002,658236.79512
IRN,Iran (Islamic Republic of),2003,776608.00275
IRN,Iran (Islamic Republic of),2004,867810.68511
IRN,Iran (Islamic Republic of),2005,713468.13483
IRN,Iran (Islamic Republic of),2006,813449.89045
IRN,Iran (Islamic Republic of),2008,2377550.3995
COL,Colombia,1996,249480.03186
COL,Colombia,1997,310290.54958
COL,Colombia,2006,143785.46615
COL,Colombia,2007,215833.51405
COL,Colombia,2008,302715.4508
COL,Colombia,2009,161811.77295
COL,Colombia,2010,267389.09258
COL,Colombia,2011,348544.20165
COL,Colombia,2012,450316.94962
COL,Colombia,2013,564932.56628
COL,Colombia,2014,553626.6982
COL,Colombia,2015,541853.12336
ZAF,South Africa,2001,1451440.20793
ZAF,South Africa,2003,1672553.68235
ZAF,South Africa,2004,1705974.82339
ZAF,South Africa,2005,1775139.42759
ZAF,South Africa,2006,2052534.25491
ZAF,South Africa,2007,2078755.38761
ZAF,South Africa,2008,2199382.68917
ZAF,South Africa,2009,2046235.42862
ZAF,South Africa,2010,1777156.72034
ZAF,South Africa,2011,1814666.33225
ZAF,South Africa,2012,1854363.40921
ZAF,South Africa,2013,2050618.38464
MNE,Montenegro,2011,9604.64037
MNE,Montenegro,2013,14644.93636
MNE,Montenegro,2014,9928.7398
MNE,Montenegro,2015,11334.60624
UGA,Uganda,2002,1137.32971
UGA,Uganda,2003,1116.45252
UGA,Uganda,2004,1603.51358
UGA,Uganda,2005,1126.73404
UGA,Uganda,2007,11725.61494
UGA,Uganda,2008,6284.88514
UGA,Uganda,2009,13904.06567
UGA,Uganda,2010,33232.16923
GAB,Gabon,2008,22743.7112
GAB,Gabon,2009,38589.78256
ROU,Romania,1996,363963.55905
ROU,Romania,1997,380500.26334
ROU,Romania,1998,261562.2859
ROU,Romania,1999,251506.58072
