LOCATION,Country,TIME,Experimental development
AUS,Australia,1996,2643310.08437
AUS,Australia,1998,2820800.97293
AUS,Australia,2000,3147699.75787
AUS,Australia,2002,4138227.74581
AUS,Australia,2004,4496566.79745
AUS,Australia,2006,6155498.4837
AUS,Australia,2008,7885817.67093
AUT,Austria,1998,1559318.96964
AUT,Austria,2002,2279859.7906
AUT,Austria,2004,2649968.46029
AUT,Austria,2006,3424051.22138
AUT,Austria,2007,3647793.77933
AUT,Austria,2009,4012914.48765
AUT,Austria,2011,4380729.97231
AUT,Austria,2013,5278903.31282
CZE,Czechia,1996,668708.60542
CZE,Czechia,1997,804692.32719
CZE,Czechia,1998,917909.57846
CZE,Czechia,1999,876034.3937
CZE,Czechia,2000,949160.00562
CZE,Czechia,2001,991039.79943
CZE,Czechia,2002,971903.86076
CZE,Czechia,2003,1020905.43528
CZE,Czechia,2004,1097739.51741
CZE,Czechia,2005,1053688.67817
CZE,Czechia,2006,1182832.34369
CZE,Czechia,2007,1404533.50592
CZE,Czechia,2008,1382061.05134
CZE,Czechia,2009,1515726.77345
CZE,Czechia,2010,1418591.43391
CZE,Czechia,2011,1651381.21609
CZE,Czechia,2012,1834600.93359
CZE,Czechia,2013,2112018.77291
CZE,Czechia,2014,2289593.15028
FRA,France,1996,14031834.91244
FRA,France,1997,13832846.9027
FRA,France,1998,14170312.80842
FRA,France,1999,14897094.74232
FRA,France,2000,14560499.09985
FRA,France,2001,15626913.18116
FRA,France,2002,15679632.45466
FRA,France,2003,14744656.16877
FRA,France,2004,14923418.55925
FRA,France,2005,14810644.89589
FRA,France,2006,15692992.53046
FRA,France,2007,16149407.68398
FRA,France,2008,16447712.485
FRA,France,2009,17042503.37623
FRA,France,2010,16706273.13021
FRA,France,2011,18650303.49636
FRA,France,2012,19410506.44261
FRA,France,2013,20149419.78765
FRA,France,2014,20704631.64439
HUN,Hungary,2000,363662.21786
HUN,Hungary,2001,449130.12964
HUN,Hungary,2002,497979.19071
HUN,Hungary,2003,484400.33595
HUN,Hungary,2004,466055.44151
HUN,Hungary,2005,592678.01571
HUN,Hungary,2006,709779.69118
HUN,Hungary,2007,702406.38367
HUN,Hungary,2008,827633.34369
HUN,Hungary,2009,968202.29712
HUN,Hungary,2010,1099003.09253
HUN,Hungary,2011,1188203.25468
HUN,Hungary,2012,1258918.62619
HUN,Hungary,2013,1633369.11046
HUN,Hungary,2014,1747912.21023
ISL,Iceland,1997,48746.95284
ISL,Iceland,1999,55047.15938
ISL,Iceland,2001,61973.02859
ISL,Iceland,2002,63684.55846
ISL,Iceland,2003,78583.72583
ISL,Iceland,2005,141514.6796
ISL,Iceland,2006,158550.6851
ISL,Iceland,2007,146490.84826
ISL,Iceland,2008,153325.30792
ISL,Iceland,2009,165521.70341
ISL,Iceland,2011,146412.92333
ISL,Iceland,2013,106447.18204
ISL,Iceland,2014,106387.10804
ISL,Iceland,2015,92520.87287
IRL,Ireland,2002,752955.45709
IRL,Ireland,2003,777727.3686
IRL,Ireland,2004,754522.85004
IRL,Ireland,2005,727483.35239
IRL,Ireland,2006,873825.5925
IRL,Ireland,2007,1033057.20497
IRL,Ireland,2008,1057655.96164
IRL,Ireland,2009,1454019.70053
IRL,Ireland,2010,1516396.97098
IRL,Ireland,2011,1653972.93849
IRL,Ireland,2013,1659301.21802
ITA,Italy,1996,4158553.73293
ITA,Italy,2005,5088061.70693
ITA,Italy,2006,5439966.37602
ITA,Italy,2007,6994726.59479
ITA,Italy,2008,6719331.78001
ITA,Italy,2009,6393501.35518
ITA,Italy,2010,6544788.24618
ITA,Italy,2011,7034785.09583
ITA,Italy,2012,7074335.5565
ITA,Italy,2013,7593323.14284
ITA,Italy,2014,8527006.82421
JPN,Japan,1996,49402759.37569
JPN,Japan,1997,52465361.03994
JPN,Japan,1998,54098530.49492
JPN,Japan,1999,55840865.72506
JPN,Japan,2000,59029819.33843
JPN,Japan,2001,62194530.83012
JPN,Japan,2002,65953207.67032
JPN,Japan,2003,68348074.8793
JPN,Japan,2004,72382977.10605
JPN,Japan,2005,79530918.6959
JPN,Japan,2006,87200842.5949
JPN,Japan,2007,91478044.47629
JPN,Japan,2008,93101529.50794
JPN,Japan,2009,82838679.92851
JPN,Japan,2010,87091752.17706
JPN,Japan,2011,92175666.78428
JPN,Japan,2012,94559397.81406
JPN,Japan,2013,101855507.36597
JPN,Japan,2014,108199019.60635
JPN,Japan,2015,108317653.12917
KOR,Republic of Korea,1996,8889708.37753
KOR,Republic of Korea,1997,9471971.25747
KOR,Republic of Korea,1998,8899561.85465
KOR,Republic of Korea,1999,9578944.68139
KOR,Republic of Korea,2000,11686183.3567
KOR,Republic of Korea,2001,13218290.96749
KOR,Republic of Korea,2002,14534495.99653
KOR,Republic of Korea,2003,15572670.34123
KOR,Republic of Korea,2004,17725874.13102
KOR,Republic of Korea,2005,19538638.09041
