LOCATION,Country,TIME,Government
AUS,Australia,1996,3070878.04141
AUS,Australia,1998,3215745.43747
AUS,Australia,2000,3624698.1011
AUS,Australia,2002,4070587.88319
AUS,Australia,2004,4705580.19806
AUS,Australia,2006,5830872.64383
AUS,Australia,2008,6619145.91099
AUT,Austria,1996,1333313.36822
AUT,Austria,1997,1374029.09731
AUT,Austria,1998,1390658.18789
AUT,Austria,1999,1585691.61798
AUT,Austria,2000,1685676.94312
AUT,Austria,2001,1826193.77865
AUT,Austria,2002,1749540.17406
AUT,Austria,2003,1953171.65333
AUT,Austria,2004,1947675.96765
AUT,Austria,2005,2455158.46334
AUT,Austria,2006,2368657.47273
AUT,Austria,2007,2551501.10426
AUT,Austria,2008,3269255.0771
AUT,Austria,2009,3098978.63645
AUT,Austria,2010,3670721.94406
AUT,Austria,2011,3559638.62233
AUT,Austria,2012,4309246.75044
AUT,Austria,2013,4035264.11356
AUT,Austria,2014,4603951.49127
AUT,Austria,2015,4801206.49174
BEL,Belgium,1996,925700.21459
BEL,Belgium,1997,969520.28821
BEL,Belgium,1998,1085387.46869
BEL,Belgium,1999,1165214.29154
BEL,Belgium,2000,1263675.74793
BEL,Belgium,2001,1328051.8258
BEL,Belgium,2002,1380519.86717
BEL,Belgium,2003,1390036.43677
BEL,Belgium,2004,1484767.72297
BEL,Belgium,2005,1534695.46574
BEL,Belgium,2006,1516747.4016
BEL,Belgium,2007,1599804.12853
BEL,Belgium,2008,1826368.60682
BEL,Belgium,2009,2064148.05899
BEL,Belgium,2010,2279572.46789
BEL,Belgium,2011,2300005.64964
BEL,Belgium,2012,2705410.41213
BEL,Belgium,2013,2853983.79515
CAN,Canada,1996,3850158.32659
CAN,Canada,1997,3894337.68793
CAN,Canada,1998,4114813.58175
CAN,Canada,1999,4624583.26685
CAN,Canada,2000,4904847.90573
CAN,Canada,2001,5532279.00389
CAN,Canada,2002,6047181.68308
CAN,Canada,2003,6330657.16348
CAN,Canada,2004,6717578.55632
CAN,Canada,2005,7339878.91013
CAN,Canada,2006,7502472.33966
CAN,Canada,2007,7914727.69165
CAN,Canada,2008,8474631.19436
CAN,Canada,2009,8664879.48152
CAN,Canada,2010,8801654.85524
CAN,Canada,2011,8736160.21886
CAN,Canada,2012,9006859.1933
CAN,Canada,2013,9061491.84973
CAN,Canada,2014,8911665.48173
CZE,Czechia,1996,467564.86931
CZE,Czechia,1997,464374.24009
CZE,Czechia,1998,601595.66084
CZE,Czechia,1999,708205.22371
CZE,Czechia,2000,821994.12682
CZE,Czechia,2001,864496.03028
CZE,Czechia,2002,859920.04189
CZE,Czechia,2003,950368.7033
CZE,Czechia,2004,1018429.57909
CZE,Czechia,2005,1184430.8526
CZE,Czechia,2006,1348371.21651
CZE,Czechia,2007,1566164.0138
CZE,Czechia,2008,1605421.55321
CZE,Czechia,2009,1783980.59803
CZE,Czechia,2010,1724874.8142
CZE,Czechia,2011,1961667.64267
CZE,Czechia,2012,2001584.03345
CZE,Czechia,2013,2117258.98279
CZE,Czechia,2014,2215290.29809
CZE,Czechia,2015,2233427.98506
FIN,Finland,1997,905495.55337
FIN,Finland,1998,1015448.08826
FIN,Finland,1999,1140888.8983
FIN,Finland,2000,1178019.87115
FIN,Finland,2001,1178737.14162
FIN,Finland,2002,1264539.89599
FIN,Finland,2003,1283271.46292
FIN,Finland,2004,1420745.6262
FIN,Finland,2005,1433729.41647
FIN,Finland,2006,1517581.46658
FIN,Finland,2007,1603942.15074
FIN,Finland,2008,1644811.84048
FIN,Finland,2009,1819173.95762
FIN,Finland,2010,1992448.90466
FIN,Finland,2011,1996809.81841
FIN,Finland,2012,2007274.66855
FIN,Finland,2013,1923408.58337
FIN,Finland,2014,1977579.26275
FIN,Finland,2015,1940456.23295
FRA,France,1996,11757083.58611
FRA,France,1997,11112693.82912
FRA,France,1998,10983466.13753
FRA,France,1999,11449659.44909
FRA,France,2000,12854822.35465
FRA,France,2001,13351149.00822
FRA,France,2002,14684963.99379
FRA,France,2003,14486851.48983
FRA,France,2004,14777726.93351
FRA,France,2005,15272029.9239
FRA,France,2006,16308060.98076
FRA,France,2007,16846922.57475
FRA,France,2008,18123873.70531
FRA,France,2009,19238381.59061
FRA,France,2010,18923390.27796
FRA,France,2011,18846001.89455
FRA,France,2012,19478947.67387
FRA,France,2013,20616392.69463
FRA,France,2014,20607447.93286
DEU,Germany,1996,16081104.35788
DEU,Germany,1997,15816868.87558
DEU,Germany,1998,16021183.67469
DEU,Germany,1999,16203181.15455
DEU,Germany,2000,16839565.7163
DEU,Germany,2001,17630815.6774
DEU,Germany,2002,18488112.32764
DEU,Germany,2003,18948073.70931
DEU,Germany,2004,19170012.408
DEU,Germany,2005,18128751.34207
DEU,Germany,2006,19079987.78254
DEU,Germany,2007,20174681.13477
DEU,Germany,2008,23033777.38447
DEU,Germany,2009,24688808.46105
DEU,Germany,2010,26457717.05841
DEU,Germany,2011,28634909.64692
DEU,Germany,2012,29356616.61031
DEU,Germany,2013,29968294.13862
DEU,Germany,2014,31783589.44924
GRC,Greece,1997,427153.49958
GRC,Greece,1999,552128.38641
GRC,Greece,2001,594955.31162
GRC,Greece,2003,661761.06094
GRC,Greece,2005,761705.61486
GRC,Greece,2008,1406721.65164
GRC,Greece,2009,1156249.28934
GRC,Greece,2010,905721.43411
GRC,Greece,2011,960487.29393
GRC,Greece,2012,983841.68562
GRC,Greece,2013,1214714.70519
GRC,Greece,2014,1284528.46321
GRC,Greece,2015,1441633.61857
HUN,Hungary,1996,303703.23841
HUN,Hungary,1997,387085.86614
HUN,Hungary,1998,394012.52831
HUN,Hungary,1999,398142.89005
HUN,Hungary,2000,473937.57737
HUN,Hungary,2001,660526.04724
HUN,Hungary,2002,849759.69704
HUN,Hungary,2003,835075.20862
HUN,Hungary,2004,732418.22758
HUN,Hungary,2005,784126.19817
HUN,Hungary,2006,809861.49724
HUN,Hungary,2007,812792.88301
HUN,Hungary,2008,850352.26232
HUN,Hungary,2009,984795.56122
HUN,Hungary,2010,967130.99553
HUN,Hungary,2011,1031716.47034
HUN,Hungary,2012,1067314.51305
HUN,Hungary,2013,1207118.11651
HUN,Hungary,2014,1147710.92034
HUN,Hungary,2015,1242218.84044
ISL,Iceland,1997,66618.44418
ISL,Iceland,1998,85801.85032
ISL,Iceland,1999,75429.2462
ISL,Iceland,2001,87940.40535
ISL,Iceland,2003,102646.35173
ISL,Iceland,2005,120178.94492
ISL,Iceland,2006,136032.3468
ISL,Iceland,2007,126788.04907
ISL,Iceland,2008,132703.28047
ISL,Iceland,2009,139515.2391
ISL,Iceland,2011,125537.16925
ISL,Iceland,2013,90626.74581
ISL,Iceland,2014,99756.99597
ISL,Iceland,2015,110721.53665
IRL,Ireland,1996,229339.13947
IRL,Ireland,1997,251303.1077
IRL,Ireland,1998,259887.80972
IRL,Ireland,1999,255722.29237
