LOCATION,Country,TIME,Medical and health sciences
AUS,Australia,1996,748763.13383
AUS,Australia,1998,871248.56639
AUS,Australia,2000,1025710.81469
AUS,Australia,2002,1243032.12145
AUS,Australia,2004,1656381.20548
AUS,Australia,2006,2225446.16467
AUS,Australia,2008,2901952.77718
CZE,Czechia,1996,94060.67522
CZE,Czechia,1997,78747.00498
CZE,Czechia,1998,78083.95
CZE,Czechia,1999,90664.71764
CZE,Czechia,2000,127957.63892
CZE,Czechia,2001,125193.21939
CZE,Czechia,2002,128887.71801
CZE,Czechia,2003,168995.17262
CZE,Czechia,2004,203747.67995
CZE,Czechia,2005,231668.3002
CZE,Czechia,2006,259417.24915
CZE,Czechia,2007,301353.80728
CZE,Czechia,2008,312061.04487
CZE,Czechia,2009,366786.33596
CZE,Czechia,2010,348630.93426
CZE,Czechia,2011,374564.76266
CZE,Czechia,2012,440369.2699
CZE,Czechia,2013,478693.72481
CZE,Czechia,2014,541798.20896
HUN,Hungary,1996,54451.89106
HUN,Hungary,1997,45269.18183
HUN,Hungary,1998,52562.44015
HUN,Hungary,1999,59536.53861
HUN,Hungary,2000,72139.46671
HUN,Hungary,2001,129785.75725
HUN,Hungary,2002,161351.72801
HUN,Hungary,2003,135444.59419
HUN,Hungary,2004,125130.51334
HUN,Hungary,2005,140708.07102
HUN,Hungary,2006,152812.53258
HUN,Hungary,2007,155685.09094
HUN,Hungary,2008,150823.60565
HUN,Hungary,2009,159102.28826
HUN,Hungary,2010,182683.33722
HUN,Hungary,2011,201411.68591
HUN,Hungary,2012,244770.07538
HUN,Hungary,2013,243828.2701
HUN,Hungary,2014,206010.39402
POL,Poland,1996,181078.24739
POL,Poland,1997,218531.0933
POL,Poland,1998,248202.46368
POL,Poland,1999,284233.47314
POL,Poland,2000,319845.52339
POL,Poland,2001,282762.86934
POL,Poland,2002,292366.63064
POL,Poland,2003,281582.86435
POL,Poland,2004,310966.71203
POL,Poland,2005,304080.9169
POL,Poland,2006,352021.19149
POL,Poland,2007,353497.89761
POL,Poland,2008,391859.27155
POL,Poland,2009,510642.44637
POL,Poland,2010,595900.25068
POL,Poland,2011,733641.83002
POL,Poland,2012,1034090.35235
POL,Poland,2013,864152.57891
POL,Poland,2014,969516.56118
PRT,Portugal,2005,197340.19411
PRT,Portugal,2006,240032.03987
PRT,Portugal,2007,272308.30513
PRT,Portugal,2008,437654.44519
PRT,Portugal,2009,463224.59142
PRT,Portugal,2010,500752.44787
PRT,Portugal,2011,524682.90741
PRT,Portugal,2012,496668.30746
PRT,Portugal,2013,475799.20423
PRT,Portugal,2014,492004.80284
SVK,Slovakia,1996,29665.44455
