LOCATION,Country,TIME,Private non-profit
AUS,Australia,1996,171743.12263
AUS,Australia,1998,194816.69066
AUS,Australia,2000,234103.04969
AUS,Australia,2002,303481.50753
AUS,Australia,2004,219733.74387
AUS,Australia,2006,281608.28672
AUS,Australia,2008,337846.7459
AUT,Austria,1996,11968.37525
AUT,Austria,1997,12303.55344
AUT,Austria,1998,13207.49406
AUT,Austria,1999,13648.57464
AUT,Austria,2000,14567.38821
AUT,Austria,2001,14771.86698
AUT,Austria,2002,19438.82898
AUT,Austria,2003,23616.60135
AUT,Austria,2004,28694.30167
AUT,Austria,2005,29537.19021
AUT,Austria,2006,31296.2709
AUT,Austria,2007,37172.17263
AUT,Austria,2008,39359.84944
AUT,Austria,2009,50052.39131
AUT,Austria,2010,52020.32278
AUT,Austria,2011,47194.16292
AUT,Austria,2012,52061.82526
AUT,Austria,2013,57100.91642
AUT,Austria,2014,58642.17331
AUT,Austria,2015,60035.65206
BEL,Belgium,1996,8847.36598
BEL,Belgium,1997,9129.2619
BEL,Belgium,1998,7430.33593
BEL,Belgium,1999,8998.78456
BEL,Belgium,2000,26912.93931
BEL,Belgium,2001,22218.2781
BEL,Belgium,2002,31699.3015
BEL,Belgium,2003,29879.06094
BEL,Belgium,2004,32925.98378
BEL,Belgium,2005,39555.36518
BEL,Belgium,2006,50554.89309
BEL,Belgium,2007,50092.65266
BEL,Belgium,2008,43774.65569
BEL,Belgium,2009,60772.58921
BEL,Belgium,2010,50417.65217
BEL,Belgium,2011,59020.73659
BEL,Belgium,2012,46203.97817
BEL,Belgium,2013,48499.07752
CAN,Canada,1996,296293.35359
CAN,Canada,1997,305454.56967
CAN,Canada,1998,313541.71496
CAN,Canada,1999,319110.52141
CAN,Canada,2000,362507.44362
CAN,Canada,2001,439303.93275
CAN,Canada,2002,510846.1255
CAN,Canada,2003,519467.81053
CAN,Canada,2004,596306.79214
CAN,Canada,2005,645988.44472
CAN,Canada,2006,686115.73868
CAN,Canada,2007,788917.23788
CAN,Canada,2008,822268.48889
CAN,Canada,2009,785673.44449
CAN,Canada,2010,874596.89109
CAN,Canada,2011,929910.70276
CAN,Canada,2012,956928.57263
CAN,Canada,2013,954573.11687
CAN,Canada,2014,954416.88768
CZE,Czechia,1996,2324.83505
CZE,Czechia,1997,3701.55063
CZE,Czechia,1998,985.60186
CZE,Czechia,1999,1173.63056
CZE,Czechia,2000,12160.54287
CZE,Czechia,2001,20318.43886
CZE,Czechia,2002,21025.95454
CZE,Czechia,2003,22693.97587
CZE,Czechia,2004,1318.24002
CZE,Czechia,2005,147.84556
CZE,Czechia,2006,388.45526
CZE,Czechia,2007,160.45466
CZE,Czechia,2008,111.44873
CZE,Czechia,2009,823.90555
CZE,Czechia,2010,724.4967
CZE,Czechia,2011,324.53361
CZE,Czechia,2012,123.55521
CZE,Czechia,2013,3651.16675
CZE,Czechia,2014,6840.77872
CZE,Czechia,2015,3647.22185
DNK,Denmark,1996,103192.24371
DNK,Denmark,1997,100878.7234
DNK,Denmark,1999,100278.91211
DNK,Denmark,2001,96228.6812
DNK,Denmark,2003,113545.10762
DNK,Denmark,2005,125095.13459
DNK,Denmark,2007,187667.53736
DNK,Denmark,2009,212273.22858
DNK,Denmark,2010,240537.02911
DNK,Denmark,2011,260653.06171
DNK,Denmark,2012,281036.72382
DNK,Denmark,2013,340886.01786
DNK,Denmark,2014,351597.32356
DNK,Denmark,2015,387707.38084
FIN,Finland,1997,17923.8841
FIN,Finland,1998,26230.4166
FIN,Finland,1999,29448.49839
FIN,Finland,2000,32386.08207
FIN,Finland,2001,47933.31087
FIN,Finland,2002,47174.074
FIN,Finland,2003,44966.36668
FIN,Finland,2004,52334.57639
FIN,Finland,2005,54060.34567
FIN,Finland,2006,58096.83155
FIN,Finland,2007,64723.61573
FIN,Finland,2008,77478.41579
FIN,Finland,2009,86834.74015
FIN,Finland,2010,88538.17826
FIN,Finland,2011,100757.40367
FIN,Finland,2012,96924.0337
FIN,Finland,2013,100382.51487
FIN,Finland,2014,102484.70184
FIN,Finland,2015,102577.72171
FRA,France,1996,250458.05629
FRA,France,1997,249264.16843
FRA,France,1998,269620.91069
FRA,France,1999,280601.56121
FRA,France,2000,289653.86119
FRA,France,2001,312376.30294
FRA,France,2002,347098.51912
FRA,France,2003,335403.55324
FRA,France,2004,332746.72357
FRA,France,2005,344205.62644
FRA,France,2006,358648.51157
FRA,France,2007,360391.96342
FRA,France,2008,489105.01954
FRA,France,2009,391681.01468
FRA,France,2010,402406.18673
FRA,France,2011,427479.99967
FRA,France,2012,428168.39018
FRA,France,2013,454442.53986
FRA,France,2014,568522.22568
DEU,Germany,1996,129010.92547
DEU,Germany,1997,145091.26874
DEU,Germany,1998,159128.15082
DEU,Germany,1999,214887.24153
DEU,Germany,2000,220489.99425
DEU,Germany,2001,239366.00356
DEU,Germany,2002,264813.73808
DEU,Germany,2003,195878.85166
DEU,Germany,2004,237991.32126
DEU,Germany,2005,187455.09733
DEU,Germany,2006,248476.65062
DEU,Germany,2007,258813.37051
DEU,Germany,2008,252442.40317
DEU,Germany,2009,216803.35559
DEU,Germany,2010,204510.9769
DEU,Germany,2011,334031.91677
DEU,Germany,2012,390505.6361
DEU,Germany,2013,317536.5981
DEU,Germany,2014,344232.82632
HUN,Hungary,1996,3257.70142
HUN,Hungary,1997,3344.67546
HUN,Hungary,1998,3081.99655
HUN,Hungary,1999,1979.99189
HUN,Hungary,2000,2937.65024
HUN,Hungary,2001,5317.60176
HUN,Hungary,2002,3838.62433
HUN,Hungary,2003,5794.28981
HUN,Hungary,2004,7949.64015
HUN,Hungary,2005,5079.81577
HUN,Hungary,2006,11384.14486
HUN,Hungary,2007,11724.46404
HUN,Hungary,2008,12216.29452
HUN,Hungary,2009,16089.86765
HUN,Hungary,2010,23002.64282
HUN,Hungary,2011,26804.14249
HUN,Hungary,2012,24658.58169
HUN,Hungary,2013,25233.33487
HUN,Hungary,2014,23666.21746
HUN,Hungary,2015,25396.55033
ISL,Iceland,1997,1213.64185
ISL,Iceland,1998,1253.48525
ISL,Iceland,1999,2731.2088
ISL,Iceland,2001,4097.94906
ISL,Iceland,2003,3850.45157
ISL,Iceland,2005,966.18695
ISL,Iceland,2006,2035.9699
ISL,Iceland,2007,2639.78388
ISL,Iceland,2008,2762.93792
ISL,Iceland,2009,2006.95538
ISL,Iceland,2011,1832.01131
ISL,Iceland,2013,195.03447
ISL,Iceland,2014,5965.94326
ISL,Iceland,2015,14630.70363
IRL,Ireland,1996,6211.49516
IRL,Ireland,1997,4969.35167
IRL,Ireland,1998,856.23769
IRL,Ireland,1999,3829.8161
IRL,Ireland,2000,6669.88515
IRL,Ireland,2001,6721.77836
IRL,Ireland,2002,
IRL,Ireland,2003,
IRL,Ireland,2004,
IRL,Ireland,2005,3953.71387
IRL,Ireland,2006,34740.49362
IRL,Ireland,2007,14075.76935
IRL,Ireland,2008,14399.96104
IRL,Ireland,2009,15109.21717
IRL,Ireland,2010,14621.47274
IRL,Ireland,2011,18821.11284
IRL,Ireland,2012,19460.02294
IRL,Ireland,2013,20408.4906
IRL,Ireland,2014,20973.5145
JPN,Japan,1996,572118.94898
JPN,Japan,1997,586935.48689
JPN,Japan,1998,602156.03329
JPN,Japan,1999,672320.81021
JPN,Japan,2000,714833.60752
JPN,Japan,2001,736661.38652
JPN,Japan,2002,779493.09475
JPN,Japan,2003,856746.93379
JPN,Japan,2004,817498.61919
JPN,Japan,2005,900766.02858
JPN,Japan,2006,944956.79986
JPN,Japan,2007,1070617.35301
JPN,Japan,2008,1021551.35827
JPN,Japan,2009,1006669.65183
JPN,Japan,2010,1103641.2835
JPN,Japan,2011,1236237.39104
JPN,Japan,2012,1173773.25954
JPN,Japan,2013,1374313.4716
JPN,Japan,2014,1251559.50682
JPN,Japan,2015,1255056.88535
KOR,Republic of Korea,1996,245583.11181
KOR,Republic of Korea,1997,147280.25138
KOR,Republic of Korea,1998,57671.62054
KOR,Republic of Korea,1999,194660.70799
KOR,Republic of Korea,2000,61733.28414
KOR,Republic of Korea,2001,82967.23169
KOR,Republic of Korea,2002,88767.86716
KOR,Republic of Korea,2003,88954.10411
KOR,Republic of Korea,2004,109190.74939
KOR,Republic of Korea,2005,122494.27504
KOR,Republic of Korea,2006,123713.78155
KOR,Republic of Korea,2007,140169.88891
KOR,Republic of Korea,2008,173747.15459
KOR,Republic of Korea,2009,190026.43745
KOR,Republic of Korea,2010,198441.26183
KOR,Republic of Korea,2011,257062.72886
KOR,Republic of Korea,2012,307567.285
KOR,Republic of Korea,2013,313295.21159
KOR,Republic of Korea,2014,254102.71816
KOR,Republic of Korea,2015,293378.01833
MEX,Mexico,1996,45516.50465
MEX,Mexico,1997,22122.51647
MEX,Mexico,1998,3296.81124
MEX,Mexico,1999,3776.04652
MEX,Mexico,2000,19216.86752
MEX,Mexico,2001,28517.63343
MEX,Mexico,2002,34913.1185
MEX,Mexico,2003,34384.09195
MEX,Mexico,2004,37238.98066
MEX,Mexico,2005,49853.21731
MEX,Mexico,2006,7682.69091
MEX,Mexico,2007,110575.5876
MEX,Mexico,2008,124315.01733
MEX,Mexico,2009,199565.67529
MEX,Mexico,2010,146990.84233
MEX,Mexico,2011,151466.4448
MEX,Mexico,2012,405167.36339
MEX,Mexico,2013,456866.41878
MEX,Mexico,2014,495165.55651
MEX,Mexico,2015,518620.52941
NLD,Netherlands,1996,167239.90109
NLD,Netherlands,1997,179138.96033
NLD,Netherlands,1998,218663.50859
NLD,Netherlands,1999,246039.91584
NLD,Netherlands,2001,262564.60252
NLD,Netherlands,2003,209371.1957
NLD,Netherlands,2005,280892.92741
NLD,Netherlands,2007,282108.73376
NLD,Netherlands,2009,346983.31057
NLD,Netherlands,2011,483635.84171
NLD,Netherlands,2012,465997.41875
NLD,Netherlands,2013,489312.74257
NLD,Netherlands,2014,481547.75497
NLD,Netherlands,2015,446986.19558
NZL,New Zealand,1997,8440.61851
NZL,New Zealand,1999,13919.67435
NZL,New Zealand,2001,18025.92873
NZL,New Zealand,2003,23308.03065
NZL,New Zealand,2005,20065.14658
NZL,New Zealand,2007,52481.44216
NZL,New Zealand,2009,46919.11417
NZL,New Zealand,2011,49127.97838
NZL,New Zealand,2013,57414.01732
NOR,Norway,1997,18160.39201
NOR,Norway,1999,21370.69989
NOR,Norway,2001,25250.77593
NOR,Norway,2003,24402.08114
NOR,Norway,2005,29505.16168
NOR,Norway,2007,39663.88661
NOR,Norway,2009,45653.08658
NOR,Norway,2011,55016.462
NOR,Norway,2013,57664.20081
POL,Poland,1996,7024.26848
POL,Poland,1997,6802.26733
POL,Poland,1998,8209.0309
POL,Poland,1999,7251.14752
POL,Poland,2000,10848.68913
POL,Poland,2001,9821.94452
POL,Poland,2002,7500.85426
POL,Poland,2003,7251.29845
POL,Poland,2004,7484.61693
POL,Poland,2005,8834.89193
POL,Poland,2006,9614.81849
POL,Poland,2007,7756.70659
POL,Poland,2008,9173.59979
POL,Poland,2009,12534.38922
POL,Poland,2010,18207.29224
POL,Poland,2011,16209.39879
POL,Poland,2012,33126.07729
POL,Poland,2013,14484.90815
POL,Poland,2014,18313.15379
POL,Poland,2015,23377.90266
PRT,Portugal,1996,21008.89094
PRT,Portugal,1997,25936.05598
PRT,Portugal,1998,27171.1521
PRT,Portugal,1999,28888.56597
PRT,Portugal,2000,26955.57138
PRT,Portugal,2001,24772.98775
PRT,Portugal,2002,26797.3652
PRT,Portugal,2003,28989.8297
PRT,Portugal,2004,39480.39658
PRT,Portugal,2005,51124.63663
PRT,Portugal,2006,61881.29633
PRT,Portugal,2007,69946.3946
PRT,Portugal,2008,67229.63839
PRT,Portugal,2009,165136.619
PRT,Portugal,2010,203807.25758
PRT,Portugal,2011,87485.93687
PRT,Portugal,2012,79645.12602
PRT,Portugal,2013,50334.43095
PRT,Portugal,2014,49563.46518
SVK,Slovakia,1996,380.38497
SVK,Slovakia,1997,295.0448
SVK,Slovakia,1998,355.80857
SVK,Slovakia,1999,66.74676
SVK,Slovakia,2000,193.50706
SVK,Slovakia,2001,128.29784
SVK,Slovakia,2002,828.35108
SVK,Slovakia,2003,1644.08798
SVK,Slovakia,2004,116.89609
SVK,Slovakia,2005,177.08047
SVK,Slovakia,2006,454.17517
SVK,Slovakia,2007,425.59714
SVK,Slovakia,2008,2238.43105
SVK,Slovakia,2009,5659.01062
SVK,Slovakia,2010,2324.62083
SVK,Slovakia,2011,3586.04838
SVK,Slovakia,2012,3985.79306
SVK,Slovakia,2013,2455.77566
SVK,Slovakia,2014,7265.7189
SVK,Slovakia,2015,6065.69519
ESP,Spain,1996,52416.58358
ESP,Spain,1997,40428.7957
ESP,Spain,1998,49786.63266
ESP,Spain,1999,53369.13732
ESP,Spain,2000,157410.53411
ESP,Spain,2001,69566.7916
ESP,Spain,2002,66939.50792
ESP,Spain,2003,49044.20306
ESP,Spain,2004,76402.12414
ESP,Spain,2005,113355.54666
ESP,Spain,2006,89688.43113
ESP,Spain,2007,99095.18057
ESP,Spain,2008,112165.9489
ESP,Spain,2009,127116.36544
ESP,Spain,2010,137713.27765
ESP,Spain,2011,109505.42549
ESP,Spain,2012,123513.61774
ESP,Spain,2013,121582.75622
ESP,Spain,2014,130606.58725
TUR,Turkey,1996,141824.98468
TUR,Turkey,1997,67713.40913
TUR,Turkey,1998,91531.33599
TUR,Turkey,1999,103855.64859
TUR,Turkey,2000,148721.82479
TUR,Turkey,2001,196425.638
TUR,Turkey,2002,213785.68493
TUR,Turkey,2003,155192.45139
TUR,Turkey,2004,173772.45736
TUR,Turkey,2005,265221.56415
TUR,Turkey,2006,252027.14336
TUR,Turkey,2007,282459.86946
TUR,Turkey,2008,285556.16164
TUR,Turkey,2009,327260.41179
TUR,Turkey,2010,369983.02865
TUR,Turkey,2011,391436.96387
TUR,Turkey,2012,433341.56979
TUR,Turkey,2013,457651.4013
TUR,Turkey,2014,517713.46098
GBR,United Kingdom of Great Britain and Northern Ireland,1996,764568.41185
GBR,United Kingdom of Great Britain and Northern Ireland,1997,815519.68936
GBR,United Kingdom of Great Britain and Northern Ireland,1998,861188.03867
GBR,United Kingdom of Great Britain and Northern Ireland,1999,965692.54869
GBR,United Kingdom of Great Britain and Northern Ireland,2000,1155934.91023
GBR,United Kingdom of Great Britain and Northern Ireland,2001,1281751.4961
GBR,United Kingdom of Great Britain and Northern Ireland,2002,1395031.28819
GBR,United Kingdom of Great Britain and Northern Ireland,2003,1336173.42552
GBR,United Kingdom of Great Britain and Northern Ireland,2004,1395534.75392
GBR,United Kingdom of Great Britain and Northern Ireland,2005,1444138.72437
GBR,United Kingdom of Great Britain and Northern Ireland,2006,1543892.88328
GBR,United Kingdom of Great Britain and Northern Ireland,2007,1623706.17978
GBR,United Kingdom of Great Britain and Northern Ireland,2008,1801030.65309
GBR,United Kingdom of Great Britain and Northern Ireland,2009,1819225.24298
GBR,United Kingdom of Great Britain and Northern Ireland,2010,1809950.58093
GBR,United Kingdom of Great Britain and Northern Ireland,2011,1850005.38204
GBR,United Kingdom of Great Britain and Northern Ireland,2012,1820322.27629
GBR,United Kingdom of Great Britain and Northern Ireland,2013,1961360.16815
GBR,United Kingdom of Great Britain and Northern Ireland,2014,2128265.05878
GBR,United Kingdom of Great Britain and Northern Ireland,2015,2223507.9818
USA,United States of America,1996,4239079
USA,United States of America,1997,4589549
USA,United States of America,1998,5102000
USA,United States of America,1999,5619000
USA,United States of America,2000,6528000
USA,United States of America,2001,7192000
USA,United States of America,2002,8203000
USA,United States of America,2003,9160000
USA,United States of America,2004,9310000
USA,United States of America,2005,10095000
USA,United States of America,2006,10641000
USA,United States of America,2007,11810000
USA,United States of America,2008,13151000
USA,United States of America,2009,14856000
USA,United States of America,2010,15494000
USA,United States of America,2011,15282000
USA,United States of America,2012,15632000
USA,United States of America,2013,16552000
USA,United States of America,2014,17877000
USA,United States of America,2015,18788000
ALB,Albania,2007,
ALB,Albania,2008,
ARG,Argentina,1997,38536.31782
ARG,Argentina,1998,27107.74448
ARG,Argentina,1999,29104.14958
ARG,Argentina,2000,36093.3691
ARG,Argentina,2001,23926.21496
ARG,Argentina,2002,52872.33549
ARG,Argentina,2003,64159.75654
ARG,Argentina,2004,53071.04546
ARG,Argentina,2005,67492.2333
ARG,Argentina,2006,72729.17482
ARG,Argentina,2007,34395.03243
ARG,Argentina,2008,32402.2533
AZE,Azerbaijan,2001,5773.50483
AZE,Azerbaijan,2002,5354.30972
AZE,Azerbaijan,2003,5042.12815
AZE,Azerbaijan,2004,1788.77976
AZE,Azerbaijan,2005,1740.61491
AZE,Azerbaijan,2006,2791.83215
AZE,Azerbaijan,2007,4820.42845
AZE,Azerbaijan,2008,2918.98625
AZE,Azerbaijan,2009,2722.80271
AZE,Azerbaijan,2010,5766.5283
AZE,Azerbaijan,2011,2232.5577
AZE,Azerbaijan,2012,5014.26535
AZE,Azerbaijan,2013,1120.83246
AZE,Azerbaijan,2014,3131.33218
AZE,Azerbaijan,2015,6313.02562
BLR,Belarus,1997,
BLR,Belarus,1998,25.35704
BLR,Belarus,1999,
BLR,Belarus,2000,5.07019
BLR,Belarus,2001,
BLR,Belarus,2002,7.33732
BLR,Belarus,2003,
BLR,Belarus,2004,
BLR,Belarus,2005,
BLR,Belarus,2006,
BLR,Belarus,2007,847.80686
BLR,Belarus,2008,840.86624
BLR,Belarus,2009,1114.37243
BLR,Belarus,2010,6101.26968
BLR,Belarus,2011,21.17178
BOL,Bolivia (Plurinational State of),1996,17235.80693
