LOCATION,Country,TIME,Rest of the world
AUS,Australia,1996,137880.23808
AUS,Australia,1998,174034.19106
AUS,Australia,2000,276535.18312
AUS,Australia,2002,353388.35307
AUS,Australia,2004,335051.88585
AUS,Australia,2006,368782.93086
AUS,Australia,2008,308030.77333
AUT,Austria,1996,360441.68546
AUT,Austria,1997,512962.71069
AUT,Austria,1998,741165.59383
AUT,Austria,1999,799767.50882
AUT,Austria,2000,880980.14409
AUT,Austria,2001,937687.70318
AUT,Austria,2002,1113545.61084
AUT,Austria,2003,1135013.8607
AUT,Austria,2004,1157531.15827
AUT,Austria,2005,1233089.81687
AUT,Austria,2006,1352069.10098
AUT,Austria,2007,1415112.26649
AUT,Austria,2008,1451890.39634
AUT,Austria,2009,1490366.05091
AUT,Austria,2010,1543634.38028
AUT,Austria,2011,1685966.84525
AUT,Austria,2012,1838559.18038
AUT,Austria,2013,1996844.39991
AUT,Austria,2014,2040098.56715
AUT,Austria,2015,2086135.26928
BEL,Belgium,1996,269194.86493
BEL,Belgium,1997,298250.20685
BEL,Belgium,1998,349570.6656
BEL,Belgium,1999,362761.28794
BEL,Belgium,2000,673164.33547
BEL,Belgium,2001,729443.40287
BEL,Belgium,2002,854148.63163
BEL,Belgium,2003,762228.43436
BEL,Belgium,2004,746670.82345
BEL,Belgium,2005,772201.46492
BEL,Belgium,2006,902451.54475
BEL,Belgium,2007,939218.49099
BEL,Belgium,2008,965724.27158
BEL,Belgium,2009,984845.71889
BEL,Belgium,2010,1194215.74204
BEL,Belgium,2011,1273092.91499
BEL,Belgium,2012,1444552.42861
BEL,Belgium,2013,1560490.06876
CAN,Canada,1996,1418566.50296
CAN,Canada,1997,1493148.49587
CAN,Canada,1998,2150963.59292
CAN,Canada,1999,2271563.05372
CAN,Canada,2000,2917981.26529
CAN,Canada,2001,2389124.93279
CAN,Canada,2002,1565889.79552
CAN,Canada,2003,1759829.72546
CAN,Canada,2004,1938199.89989
CAN,Canada,2005,2026953.53827
CAN,Canada,2006,1868358.69832
CAN,Canada,2007,2290910.1401
CAN,Canada,2008,1791168.10732
CAN,Canada,2009,1773591.21843
CAN,Canada,2010,1638640.80437
CAN,Canada,2011,1525118.07366
CAN,Canada,2012,1489626.84606
CAN,Canada,2013,1551692.5473
CAN,Canada,2014,1548096.54493
CZE,Czechia,1996,25928.94328
CZE,Czechia,1997,28721.86463
CZE,Czechia,1998,42559.4309
CZE,Czechia,1999,66390.94548
CZE,Czechia,2000,58083.32691
CZE,Czechia,2001,43849.47277
CZE,Czechia,2002,55442.12222
CZE,Czechia,2003,103756.7737
CZE,Czechia,2004,89894.87692
CZE,Czechia,2005,141271.89623
CZE,Czechia,2006,142958.8184
CZE,Czechia,2007,254403.20568
CZE,Czechia,2008,318403.56268
CZE,Czechia,2009,421115.94384
CZE,Czechia,2010,540525.68695
CZE,Czechia,2011,924340.50777
CZE,Czechia,2012,1410637.65994
CZE,Czechia,2013,1654857.6081
